Identifier,Class Name,Name,Reference,Description
HM00028,biological process,heme-iron recycling,pmid:30248094,"Reticuloendothelial system (RES, spleen and liver) contribute to RBC clearance and subsequently promote heme-iron recycling through erythrophagocytosis"
HM00029,biological process,nitric oxide consumption,pmid:28314763,Plasma NO consumption was measured ex vivo as a surrogate for the NO-scavenging capacity of the plasma
HM00030,biological process,Nitric oxide scavenging,pmid:28314763,Scavenging of NO is markedly reduced
HM00031,abundance,heme-NO species,pmid:27308950,Heme-NO species are generated by reaction of nitrite with deoxyHb
HM00032,biological process,"Renal Blood Flow, limited",pmid:29351418,No or limited increases in renal blood flow are observed during acute hemodilution
HM00033,pathology,"Anemia, subacute",pmid:29351418,Both acute and subacute anemia are associated with renal tissue hypoxia
HM00034,pathology,"Anemia, acute",pmid:29351418,Both acute and subacute anemia are associated with renal tissue hypoxia
HM00035,pathology,Organ Dysfunction,pmid:29351418,We observed a mild degree of plasma hypoxia could lead to organ injury
HM00036,biological process,Monocyte-platelet aggregation,pmid:29929138,It was suggested that monocyte-platelet aggregates are a marker of platelet activation
HM00037,abundance,Pathogen Associated Molecular Pattern,pmid:29956069,PAMPs (pathogen-associated molecular patterns) lead to the activation of pattern recognition receptors (PRRs)
HM00038,pathology,Thrombus,pmid:29929138,One mechanism that may contribute to enhanced platelet thrombus formation is inhibition of the metalloprotease
HM00039,cellular component,"Erythrocytes, lysed",pmid:29929138,"In addition, lysed erythrocytes release arginase"
HM00040,pathology,Atheromatous lesions,pmid:20378845,Oxysterols and oxidation products of polyunsaturated fatty acids (PUFAs) are present in human atheromatous lesions
HM00041,abundance,Atheroma lipid,pmid:20378845,Heme treatment of the atheroma and its extracted lipid increased the amount of conjugated dienes
HM00042,protein,ferrihemoglobin,pmid:20378845,Both ferro- and ferrihemoglobin induced the oxidative modification of atheromatous lesion lipids
HM00043,biological process,oxidative modification of atheroma lipid,pmid:20378845,Both ferro- and ferrihemoglobin induced the oxidative modification of atheromatous lesion lipids
HM00044,biological process,erythrophagocytosis,pmid:27125525,Evidence suggest that CD163 acts as a hemoglobin scavenger receptor in microglia/macrophage with a role in erythrophagocytosis.
HM00045,pathology,Endothelial dysfunction,pmid:20378845,Lipids from atherosclerotic lesions were cytotoxic to endothelium
HM00046,pathology,ruptured complicated lesions,pmid:20378845,"Concentrations of iron, conjugated dienes and lipid hydroperoxides were elevated by about 2-fold in ruptured complicated lesions"
HM00047,pathology,Oxidative damage,pmid:30505280,"A1M is a plasma and tissue protein with the capacity to bind free radicals and heme groups, and the capacity to repair oxidative damage by chemical reduction."
HM00048,pathology,Immunothrombosis,pmid:29544683,Abnormal aggregation of erythrocytes under septic conditions may also contribute to immunothrombosis in sepsis.
HM00049,biological process,cytoskeletal reorganization,pmid:26974230,"HbFe4+ (20 mM), but not HbFe3+  or HbFe2+, induced cytoskeletal reorganization"
HM00050,?,nitrite oxidation,pmid:26202471,Faster rates for nitrite oxidation in the lag phase were positively associated with higher concentrations of extracellular  free heme at d7 and d35.
HM00051,biological process,Calcium Homeostasis,pmid:28400318,"Mechanistically, heme-derived ROS may directly modify Ca2+ handling proteins (such as the RyR2 or SERCA2a), and may also activate intracellular stress kinases, such as CaMKII, which in turn phosphorylate the same Ca2+ effectors and ultimately exacerbate Ca2+ mishandling."
